Date,Open,High,Low,Close,Adj Close,Volume
9/7/2020,6156.200195,6176.799805,6040.299805,6049.600098,6049.600098,670967000
10/7/2020,6049.600098,6108.200195,6003.200195,6095.399902,6095.399902,685330800
13/7/2020,6095.399902,6187.299805,6095.399902,6176.200195,6176.200195,614241100
14/7/2020,6176.200195,6179.799805,6093.200195,6179.799805,6179.799805,717546900
15/7/2020,6179.799805,6323.600098,6179.799805,6292.700195,6292.700195,747302000
16/7/2020,6292.700195,6296.799805,6227.299805,6250.700195,6250.700195,521796200
17/7/2020,6250.700195,6293.700195,6230,6290.299805,6290.299805,687096800
20/7/2020,6290.299805,6297.600098,6222.200195,6261.5,6261.5,494263500
21/7/2020,6261.5,6315.700195,6253.899902,6269.700195,6269.700195,753531600
22/7/2020,6269.700195,6271,6197.5,6207.100098,6207.100098,745230100
23/7/2020,6207.100098,6273.600098,6202.899902,6211.399902,6211.399902,605739200
24/7/2020,6211.399902,6211.399902,6099.100098,6123.799805,6123.799805,679819200
27/7/2020,6123.799805,6127.600098,6086.600098,6104.899902,6104.899902,704383900
28/7/2020,6104.899902,6149.899902,6083.700195,6129.299805,6129.299805,612575200
29/7/2020,6129.299805,6155.100098,6116.700195,6131.5,6131.5,718093000
30/7/2020,6131.5,6145.799805,5924.700195,5990,5990,1229813400
31/7/2020,5990,6046.299805,5897.799805,5897.799805,5897.799805,1007598800
3/8/2020,5897.799805,6038.799805,5857.100098,6032.899902,6032.899902,948540800
4/8/2020,6032.899902,6056.5,5986.799805,6036,6036,766666900
5/8/2020,6036,6111.5,6036,6104.700195,6104.700195,715558400
6/8/2020,6104.700195,6104.700195,5980.399902,6026.899902,6026.899902,629266500
7/8/2020,6026.899902,6046,5996.700195,6032.200195,6032.200195,540972400
10/8/2020,6032.200195,6099.5,6028.5,6050.600098,6050.600098,558064500
11/8/2020,6050.600098,6206,6050.600098,6154.299805,6154.299805,758790700
12/8/2020,6154.299805,6297.200195,6151.600098,6280.100098,6280.100098,680848000
13/8/2020,6280.100098,6280.100098,6185.600098,6185.600098,6185.600098,515765800
14/8/2020,6185.600098,6185.600098,6036.100098,6090,6090,513442300
17/8/2020,6090,6140.200195,6061.5,6127.399902,6127.399902,500314600
18/8/2020,6127.399902,6162.700195,6062.600098,6076.600098,6076.600098,502242600
19/8/2020,6076.600098,6114.799805,6045,6112,6112,425040900
